Job_Type,Quantity,Color_Type (BW / Full Color),Material_Type,Requested_Deadline_Date,Order_Request_Date,Current_Queued_Jobs_Count,Active_Machines_Count,Total_Machines_Count,Available_Staff_Count,Total_Staff_Count,Delay_Risk_Level
Business Cards,,Full Color,Cardboard,2015-12-15,2015-12-10,132,5,6,10,11,High
Stickers,691,BW,Vinyl,2023-10-03,2023-09-27,102,6,8,9,10,High
Flyers,,Full Color,,2022-05-29,2022-05-28,128,6,7,11,13,Medium
Brochures,,BW,Canvas,2017-04-09,2017-04-04,148,3,4,10,12,Low
Banners,,Full Color,Canvas,2018-10-09,2018-10-07,52,4,6,9,11,Medium
Posters,,BW,Vinyl,2020-08-06,2020-08-05,57,6,8,10,12,Medium
,,Full Color,Glossy Paper,2023-04-26,2023-04-20,13,5,6,9,10,Medium
Flyers,,BW,Vinyl,2022-11-24,2022-11-23,141,5,7,9,10,Low
Brochures,811,BW,Matte Paper,2018-07-21,2018-07-20,67,5,7,11,13,Medium
,,Full Color,Cardboard,2022-11-10,2022-11-05,,5,6,11,12,Medium
Brochures,785,Full Color,Matte Paper,2015-06-23,2015-06-17,130,6,8,9,11,Medium
Flyers,389,Full Color,Matte Paper,2019-10-07,2019-10-05,88,7,9,11,13,Medium
Business Cards,754,Full Color,Vinyl,2022-06-06,2022-06-01,16,5,7,9,10,Low
Brochures,602,BW,Vinyl,2016-11-27,2016-11-25,40,4,5,8,9,Medium
Banners,,Full Color,Matte Paper,2015-06-06,2015-06-01,111,6,7,8,10,
Flyers,910,BW,Canvas,2025-10-25,2025-10-23,110,3,5,9,10,Medium
Brochures,340,Full Color,Vinyl,2021-05-11,2021-05-10,3,4,6,9,11,Medium
Stickers,,,Matte Paper,2016-05-12,2016-05-10,33,6,8,11,13,Low
Brochures,679,,Matte Paper,2020-11-22,2020-11-18,127,4,5,9,11,Medium
Business Cards,524,Full Color,Glossy Paper,2018-01-15,2018-01-10,,4,5,9,11,Low
Brochures,,Full Color,Matte Paper,2020-10-22,2020-10-21,38,3,5,10,11,High
Banners,,BW,Vinyl,2024-08-11,2024-08-05,112,6,8,9,10,Low
Brochures,883,Full Color,Vinyl,2017-01-09,2017-01-04,104,5,6,10,11,Medium
Flyers,406,BW,Matte Paper,2024-05-06,2024-05-02,128,5,7,10,12,Low
Banners,,Full Color,Vinyl,2018-12-01,2018-11-28,176,4,6,9,11,Medium
Brochures,980,Full Color,Glossy Paper,2020-12-01,2020-11-24,85,6,7,10,12,Medium
Brochures,,BW,Vinyl,2021-05-05,2021-05-01,175,6,8,8,10,Low
Flyers,,Full Color,Matte Paper,2023-08-22,2023-08-17,84,4,6,9,10,Low
Flyers,,BW,Canvas,2025-07-24,2025-07-21,128,5,6,9,11,High
Stickers,137,Full Color,,2017-09-27,2017-09-23,3,4,6,10,12,Medium
Banners,,BW,Canvas,2016-06-21,2016-06-14,90,7,8,10,12,
Banners,,Full Color,Glossy Paper,2020-05-27,2020-05-25,43,5,6,10,11,Medium
Flyers,,Full Color,Cardboard,2016-12-31,2016-12-29,162,6,7,10,12,Medium
Stickers,,Full Color,Glossy Paper,2015-06-05,2015-06-03,195,4,6,10,11,High
Flyers,53,Full Color,Glossy Paper,2015-04-08,2015-04-02,37,6,8,9,11,Medium
Business Cards,76,Full Color,Glossy Paper,2021-07-14,2021-07-13,90,6,8,11,12,Medium
Brochures,121,BW,Matte Paper,2023-10-13,2023-10-08,65,5,7,12,14,Low
Business Cards,626,BW,,2020-07-11,2020-07-09,42,7,8,10,11,High
Flyers,,Full Color,Vinyl,2017-02-27,2017-02-25,40,4,5,8,9,Low
Posters,223,BW,Glossy Paper,2020-07-21,2020-07-20,102,3,4,10,11,Medium
Brochures,,Full Color,Cardboard,2022-03-21,2022-03-20,21,5,7,9,11,
Brochures,,,Glossy Paper,2025-04-26,2025-04-25,7,5,6,10,11,Medium
Stickers,,,Cardboard,2016-10-11,2016-10-04,116,5,6,9,10,High
Posters,,Full Color,Glossy Paper,2023-07-21,2023-07-18,68,4,6,10,11,Medium
Business Cards,,Full Color,Matte Paper,2016-11-03,2016-10-27,184,5,7,8,9,Medium
Flyers,,Full Color,Vinyl,2025-05-14,2025-05-11,190,4,5,12,13,High
Stickers,504,BW,Cardboard,2022-12-29,2022-12-25,,5,7,9,10,Medium
Business Cards,687,Full Color,Cardboard,2025-02-23,2025-02-18,119,5,7,10,11,
Business Cards,538,BW,Cardboard,2017-12-12,2017-12-05,149,5,7,11,12,Low
Flyers,930,Full Color,Canvas,2022-12-31,2022-12-25,178,4,5,9,11,Medium
,484,BW,Canvas,2022-11-14,2022-11-09,32,5,6,11,12,Medium
Flyers,,BW,Matte Paper,2018-03-04,2018-02-26,101,4,5,9,10,High
Business Cards,273,Full Color,Glossy Paper,2024-11-18,2024-11-17,43,4,5,12,13,Low
Stickers,,BW,Matte Paper,2018-02-17,2018-02-15,69,6,7,12,13,
,,Full Color,Glossy Paper,2023-12-18,2023-12-16,52,6,7,9,10,Low
Stickers,,BW,Glossy Paper,2016-05-06,2016-05-01,2,4,5,11,13,Low
Brochures,259,BW,Matte Paper,2023-10-15,2023-10-11,77,6,7,9,11,Medium
Flyers,,BW,Cardboard,2018-09-25,2018-09-21,94,6,8,9,10,Low
Flyers,,BW,Cardboard,2024-01-25,2024-01-18,43,6,8,8,10,Medium
Posters,,Full Color,Glossy Paper,2022-11-04,2022-10-29,124,4,5,9,11,Medium
Brochures,378,Full Color,Cardboard,2015-04-02,2015-03-31,138,7,9,10,12,Medium
,245,Full Color,,2015-07-24,2015-07-18,52,4,6,10,12,Low
,297,BW,Vinyl,2016-06-22,2016-06-21,23,4,5,11,12,Low
,,BW,Matte Paper,2015-10-29,2015-10-28,83,3,4,9,11,High
Stickers,785,BW,Glossy Paper,2019-05-22,2019-05-18,196,5,6,12,14,Medium
Business Cards,498,Full Color,Matte Paper,2019-01-02,2018-12-30,148,3,5,8,9,High
,663,Full Color,,2025-07-07,2025-07-03,,4,6,8,9,Medium
Stickers,926,Full Color,Glossy Paper,2021-11-13,2021-11-11,51,4,5,10,11,High
Business Cards,410,Full Color,Canvas,2016-02-04,2016-02-02,46,6,7,11,12,Low
Posters,,Full Color,Canvas,2024-03-15,2024-03-11,94,6,8,11,13,Medium
Brochures,116,BW,,2018-03-10,2018-03-09,25,4,5,10,12,Low
Brochures,192,Full Color,Matte Paper,2016-07-11,2016-07-09,125,6,7,9,11,Medium
Business Cards,,Full Color,Cardboard,2022-09-30,2022-09-29,55,6,8,8,10,Low
Brochures,,BW,Cardboard,2019-10-24,2019-10-18,70,6,8,10,12,Medium
Flyers,,Full Color,Vinyl,2022-04-17,2022-04-11,128,3,4,10,12,Medium
,152,BW,Vinyl,2021-05-22,2021-05-18,124,5,7,9,10,Medium
Business Cards,631,Full Color,Vinyl,2023-02-24,2023-02-19,141,6,8,10,12,High
Flyers,,BW,Cardboard,2020-05-17,2020-05-13,186,5,6,10,11,
Stickers,622,Full Color,Matte Paper,2022-08-27,2022-08-25,,4,5,10,12,Medium
Brochures,,BW,Matte Paper,2020-11-05,2020-11-04,51,5,6,9,10,Medium
Stickers,726,BW,Canvas,2023-12-28,2023-12-21,169,5,6,10,11,Low
Business Cards,,Full Color,Matte Paper,2024-05-08,2024-05-01,158,5,6,8,9,Medium
Banners,,Full Color,Vinyl,2021-06-15,2021-06-09,49,3,4,8,10,Medium
Stickers,962,Full Color,Vinyl,2020-12-21,2020-12-17,190,4,5,11,13,Low
Banners,,Full Color,Cardboard,2018-07-27,2018-07-23,177,6,8,10,12,Medium
,151,BW,Cardboard,2022-02-21,2022-02-18,,6,7,11,13,Medium
Posters,,BW,,2018-04-24,2018-04-21,9,3,5,9,11,Low
Brochures,454,Full Color,Vinyl,2025-08-19,2025-08-15,194,7,8,11,12,High
,,BW,Cardboard,2019-03-18,2019-03-16,122,4,5,8,10,Medium
Business Cards,,Full Color,Vinyl,2015-03-23,2015-03-19,53,5,6,11,12,Medium
Business Cards,729,BW,Matte Paper,2022-06-17,2022-06-14,144,6,7,9,10,Low
Flyers,797,Full Color,Matte Paper,2019-03-17,2019-03-13,4,6,7,8,10,Medium
Posters,,Full Color,Matte Paper,2018-03-09,2018-03-03,156,6,7,9,11,Low
Banners,,Full Color,Vinyl,2018-05-05,2018-04-30,71,4,6,9,10,Low
Brochures,,BW,,2015-10-09,2015-10-05,162,6,7,10,12,Medium
Flyers,,BW,Canvas,2016-06-09,2016-06-07,43,3,4,11,12,Medium
Flyers,,,Vinyl,2015-05-07,2015-05-03,,5,6,9,10,
Business Cards,,Full Color,Glossy Paper,2019-10-30,2019-10-24,55,5,7,10,12,High
Stickers,342,Full Color,Glossy Paper,2023-07-25,2023-07-20,5,5,7,11,12,Medium
Stickers,,,Canvas,2016-05-01,2016-04-24,102,4,5,10,12,
Brochures,77,Full Color,Canvas,2019-12-06,2019-12-03,164,6,7,9,11,Medium
Flyers,315,BW,Canvas,2023-11-05,2023-11-01,174,4,5,12,13,Medium
Brochures,,Full Color,,2022-04-25,2022-04-20,188,3,4,9,11,Low
Flyers,860,Full Color,Vinyl,2017-03-31,2017-03-26,160,5,6,10,11,Medium
Business Cards,660,,Matte Paper,2016-03-25,2016-03-18,117,5,7,11,13,Medium
Flyers,252,BW,Canvas,2022-01-19,2022-01-14,144,6,7,8,9,Medium
Business Cards,451,Full Color,Vinyl,2015-07-18,2015-07-11,38,4,6,10,12,Medium
Stickers,,Full Color,Matte Paper,2016-01-16,2016-01-13,16,4,6,9,11,
Posters,228,BW,Canvas,2016-06-23,2016-06-18,181,6,7,9,10,Medium
Flyers,,BW,,2024-03-23,2024-03-18,153,5,7,9,11,Low
Posters,,Full Color,Canvas,2024-02-26,2024-02-25,172,4,5,12,14,Medium
Business Cards,,,Matte Paper,2020-11-13,2020-11-10,,5,7,11,12,Medium
Stickers,,BW,Vinyl,2022-01-26,2022-01-20,181,5,6,9,11,Medium
Posters,,BW,Vinyl,2016-02-11,2016-02-09,99,5,6,8,10,High
Business Cards,456,,Glossy Paper,2017-06-12,2017-06-07,,5,6,9,10,Medium
Stickers,115,Full Color,Matte Paper,2016-02-29,2016-02-26,198,6,7,10,12,Medium
Stickers,277,BW,Cardboard,2016-04-18,2016-04-16,12,6,8,11,13,Medium
Brochures,563,Full Color,Canvas,2016-07-05,2016-06-30,28,5,7,12,14,High
Brochures,,BW,Vinyl,2024-11-13,2024-11-06,125,3,5,11,13,High
Brochures,,Full Color,Matte Paper,2017-11-10,2017-11-03,81,6,7,10,12,Medium
Brochures,,Full Color,Glossy Paper,2025-03-14,2025-03-12,167,5,6,8,10,Medium
Stickers,264,BW,Cardboard,2016-01-05,2015-12-30,197,5,7,8,10,Low
Flyers,398,Full Color,Vinyl,2024-01-30,2024-01-23,,4,5,10,11,High
Flyers,52,BW,Matte Paper,2023-11-17,2023-11-15,153,6,7,10,12,Medium
Flyers,,Full Color,Matte Paper,2016-09-27,2016-09-25,157,5,7,11,12,High
Business Cards,898,,Glossy Paper,2019-08-09,2019-08-08,1,3,4,9,10,Medium
Stickers,255,Full Color,Canvas,2023-03-28,2023-03-25,48,5,7,8,10,
Business Cards,570,BW,Glossy Paper,2017-06-08,2017-06-01,8,6,7,10,11,Medium
Flyers,,Full Color,Glossy Paper,2022-09-29,2022-09-28,37,3,4,12,13,Low
Brochures,,BW,Glossy Paper,2016-06-06,2016-05-30,12,7,9,11,12,Medium
Business Cards,,Full Color,Canvas,2018-11-23,2018-11-21,30,5,7,8,10,Low
,,,Vinyl,2020-11-25,2020-11-23,135,5,7,11,12,Medium
Brochures,,BW,Glossy Paper,2015-08-07,2015-08-02,,4,6,10,11,Medium
Stickers,,BW,Canvas,2023-10-10,2023-10-09,141,4,6,9,11,
Business Cards,771,BW,Vinyl,2021-02-24,2021-02-22,177,6,7,9,10,Low
Brochures,973,Full Color,Cardboard,2016-10-06,2016-10-03,98,4,6,10,11,High
Brochures,885,BW,Glossy Paper,2018-01-13,2018-01-09,169,6,7,10,11,Medium
Stickers,,Full Color,,2017-05-17,2017-05-15,22,4,5,10,11,Low
Banners,171,Full Color,Glossy Paper,2016-02-02,2016-01-27,139,3,5,10,11,
Business Cards,,Full Color,Canvas,2021-06-17,2021-06-12,188,3,5,8,10,Medium
Flyers,214,BW,Vinyl,2024-08-22,2024-08-19,161,5,6,9,11,
Brochures,832,Full Color,,2023-01-22,2023-01-21,28,7,9,11,13,High
Flyers,190,BW,Canvas,2022-12-02,2022-11-28,142,4,6,10,12,High
Flyers,769,BW,Cardboard,2022-01-13,2022-01-11,10,4,5,10,11,Medium
Stickers,60,Full Color,Matte Paper,2019-08-04,2019-08-02,2,4,5,9,11,Medium
,,Full Color,Vinyl,2024-04-07,2024-04-03,38,5,7,8,10,Medium
Brochures,,Full Color,Canvas,2019-03-30,2019-03-26,,5,6,9,11,High
Flyers,,BW,Vinyl,2021-03-14,2021-03-09,92,6,7,8,10,Medium
Business Cards,123,BW,Canvas,2021-12-03,2021-11-29,143,5,6,10,11,Medium
Flyers,300,BW,Cardboard,2016-04-06,2016-04-04,49,5,6,11,13,Low
Flyers,712,Full Color,Matte Paper,2019-04-04,2019-03-30,66,3,4,9,11,Medium
Business Cards,,Full Color,Matte Paper,2019-11-19,2019-11-13,39,7,8,11,13,Low
Stickers,718,Full Color,Glossy Paper,2017-05-08,2017-05-03,22,4,5,10,11,
Posters,210,Full Color,Glossy Paper,2021-04-07,2021-04-02,49,3,4,8,10,Low
Posters,67,Full Color,Vinyl,2016-04-24,2016-04-22,186,5,6,10,11,High
Brochures,,BW,Vinyl,2023-06-26,2023-06-19,149,5,6,9,11,Low
Business Cards,,BW,Canvas,2015-05-22,2015-05-15,145,5,7,10,12,Low
Business Cards,965,,Matte Paper,2018-02-27,2018-02-26,133,5,7,8,9,
Brochures,475,BW,Matte Paper,2018-12-18,2018-12-16,79,6,8,9,10,
Stickers,218,Full Color,Glossy Paper,2018-06-29,2018-06-23,115,4,5,10,12,High
,,BW,Canvas,2019-05-04,2019-04-29,,6,7,8,10,High
Flyers,727,BW,Cardboard,2022-02-22,2022-02-16,81,5,6,9,11,Low
Flyers,263,Full Color,Cardboard,2024-06-10,2024-06-08,,5,6,9,10,High
Stickers,,Full Color,Canvas,2016-01-19,2016-01-13,81,5,6,10,11,Medium
Posters,,Full Color,Vinyl,2019-08-14,2019-08-08,64,4,6,11,12,High
Posters,,Full Color,Glossy Paper,2015-09-02,2015-08-30,,6,7,9,10,
Stickers,,BW,Glossy Paper,2017-07-14,2017-07-08,79,5,7,9,10,High
Business Cards,927,BW,Cardboard,2021-05-05,2021-05-02,129,4,6,10,11,Medium
Banners,,BW,Matte Paper,2018-06-30,2018-06-25,159,5,7,9,11,Low
Brochures,,Full Color,Glossy Paper,2025-10-05,2025-09-29,78,7,8,10,12,Medium
Business Cards,817,Full Color,Glossy Paper,2018-11-07,2018-11-06,43,5,7,9,11,Medium
Flyers,794,BW,Cardboard,2020-07-07,2020-06-30,19,6,7,11,12,Medium
,336,BW,Vinyl,2024-08-16,2024-08-15,94,4,5,10,12,High
Business Cards,53,Full Color,Canvas,2026-01-08,2026-01-06,106,3,5,8,10,Medium
Brochures,461,BW,Glossy Paper,2017-04-08,2017-04-04,129,4,6,10,11,Low
Stickers,,Full Color,Glossy Paper,2021-07-31,2021-07-27,12,5,7,10,12,
Brochures,202,BW,Cardboard,2020-01-18,2020-01-14,,4,5,9,10,Medium
Banners,,BW,Glossy Paper,2021-05-21,2021-05-19,26,3,4,8,9,Medium
,,Full Color,Canvas,2015-04-22,2015-04-20,44,6,8,9,11,Low
Posters,216,Full Color,,2023-11-27,2023-11-26,166,6,7,10,12,
Flyers,,Full Color,Cardboard,2022-02-06,2022-02-04,0,5,6,9,11,Medium
Flyers,949,BW,Glossy Paper,2025-08-03,2025-08-01,71,4,5,10,12,Low
Brochures,409,BW,Cardboard,2017-04-23,2017-04-22,192,3,5,10,11,Medium
Brochures,780,Full Color,Matte Paper,2017-01-14,2017-01-07,179,3,5,11,12,Medium
Brochures,928,BW,Vinyl,2015-06-30,2015-06-29,65,5,7,10,11,Medium
Banners,,BW,,2015-12-15,2015-12-09,0,6,7,10,12,
Banners,,Full Color,Canvas,2020-01-02,2019-12-28,140,5,7,10,12,Medium
Flyers,,Full Color,Matte Paper,2018-06-16,2018-06-09,126,3,4,12,13,Medium
Posters,,Full Color,Cardboard,2018-05-22,2018-05-21,32,5,6,9,10,Low
Banners,273,Full Color,Canvas,2016-06-15,2016-06-13,192,4,5,9,11,Medium
Posters,,Full Color,Cardboard,2023-03-03,2023-02-24,122,4,5,8,10,Medium
Stickers,,Full Color,Cardboard,2024-01-16,2024-01-11,82,5,7,10,12,Low
,,BW,Glossy Paper,2025-08-14,2025-08-10,133,5,7,8,10,Medium
Flyers,,Full Color,Canvas,2017-06-03,2017-05-31,132,3,4,9,10,High
Brochures,621,Full Color,Matte Paper,2019-11-22,2019-11-17,145,3,5,10,11,
Stickers,,Full Color,Cardboard,2022-04-25,2022-04-23,84,7,9,12,13,High
Flyers,,BW,Cardboard,2020-11-11,2020-11-05,102,4,6,12,14,High
Brochures,,Full Color,,2019-04-20,2019-04-15,62,3,5,10,11,
Posters,122,BW,Canvas,2015-11-09,2015-11-05,173,4,6,9,10,High
Flyers,227,BW,Vinyl,2015-12-11,2015-12-09,5,3,5,11,13,Medium
Brochures,326,BW,Cardboard,2015-06-30,2015-06-26,147,4,6,11,13,Medium
Business Cards,,Full Color,Vinyl,2015-07-16,2015-07-13,91,6,8,11,13,Low
Stickers,,BW,Cardboard,2024-01-05,2024-01-03,50,4,6,10,12,High
Business Cards,735,BW,Matte Paper,2018-04-03,2018-03-30,176,5,7,9,11,Low
,,Full Color,Matte Paper,2016-06-15,2016-06-08,122,5,7,8,9,Low
Flyers,,BW,Matte Paper,2025-09-13,2025-09-12,188,5,6,11,13,
Stickers,695,,Matte Paper,2023-02-12,2023-02-10,144,6,7,8,9,Medium
Flyers,,BW,Cardboard,2017-01-12,2017-01-10,51,6,8,9,10,High
Stickers,918,Full Color,Matte Paper,2024-03-06,2024-02-29,23,3,5,10,12,High
Flyers,,Full Color,Canvas,2018-07-28,2018-07-26,3,6,8,8,10,High
Flyers,,Full Color,Canvas,2024-04-07,2024-04-04,,5,7,11,13,Medium
Banners,193,Full Color,Vinyl,2020-12-28,2020-12-27,86,7,8,9,10,Low
Business Cards,,Full Color,Canvas,2020-01-21,2020-01-19,73,5,6,8,9,Medium
,749,,Canvas,2020-04-12,2020-04-11,109,7,9,12,14,Low
Stickers,320,BW,Glossy Paper,2015-02-28,2015-02-26,48,6,7,9,10,Low
,,BW,Cardboard,2024-07-18,2024-07-13,38,4,6,11,13,Medium
Business Cards,,BW,,2023-12-04,2023-11-28,149,5,6,10,12,Medium
Banners,,Full Color,Canvas,2018-09-29,2018-09-24,88,7,9,10,11,Medium
Posters,,Full Color,Cardboard,2018-07-11,2018-07-06,54,6,7,9,11,Medium
Stickers,,BW,Cardboard,2022-04-19,2022-04-17,9,3,4,10,11,Low
Business Cards,857,BW,Glossy Paper,2022-07-11,2022-07-08,160,5,6,9,11,High
Stickers,,Full Color,Matte Paper,2024-02-11,2024-02-09,108,4,6,12,14,Medium
Business Cards,,BW,Canvas,2023-01-28,2023-01-24,160,3,4,8,9,High
Banners,,Full Color,Matte Paper,2018-02-08,2018-02-05,23,5,7,9,11,
Flyers,365,,Cardboard,2022-03-30,2022-03-26,127,4,5,11,13,High
Business Cards,580,BW,Matte Paper,2021-12-12,2021-12-07,62,6,7,10,12,Medium
Stickers,777,Full Color,Canvas,2023-04-14,2023-04-08,41,4,6,10,11,Low
Banners,293,BW,Cardboard,2022-05-12,2022-05-10,199,6,8,10,12,High
Flyers,,,Cardboard,2020-04-15,2020-04-10,26,3,5,8,9,Medium
Business Cards,,Full Color,Glossy Paper,2023-04-24,2023-04-22,134,4,5,8,10,
Posters,,Full Color,Glossy Paper,2020-08-29,2020-08-25,45,4,6,11,13,Medium
Brochures,412,,Matte Paper,2017-07-31,2017-07-24,39,4,6,9,10,Low
,925,Full Color,Vinyl,2018-05-02,2018-04-26,31,3,5,9,10,
Banners,,Full Color,Canvas,2022-02-05,2022-02-04,,4,5,10,11,Low
,,BW,Canvas,2023-05-10,2023-05-03,151,5,7,9,11,Medium
,,BW,Cardboard,2019-03-26,2019-03-21,,4,6,10,12,Medium
Brochures,,Full Color,Matte Paper,2024-04-27,2024-04-24,36,5,6,10,12,Medium
Stickers,,BW,Canvas,2022-12-06,2022-12-02,22,4,6,11,13,Medium
Business Cards,149,Full Color,Canvas,2019-09-14,2019-09-13,107,6,7,9,10,Medium
Brochures,,Full Color,Vinyl,2018-04-22,2018-04-16,148,6,8,9,10,Medium
Brochures,,BW,Glossy Paper,2018-10-24,2018-10-17,,5,7,11,13,Medium
Brochures,,BW,Matte Paper,2019-12-11,2019-12-04,167,4,6,9,10,Medium
Flyers,,Full Color,Vinyl,2016-02-24,2016-02-20,160,3,5,10,11,Low
Business Cards,625,Full Color,Vinyl,2015-09-15,2015-09-12,133,7,8,11,13,Medium
Business Cards,,BW,Glossy Paper,2025-06-27,2025-06-20,67,3,4,10,11,Low
,,BW,Vinyl,2020-02-24,2020-02-20,36,4,5,10,11,High
Business Cards,,,Canvas,2022-03-15,2022-03-09,112,4,5,9,10,Low
Banners,,Full Color,Matte Paper,2020-08-24,2020-08-20,40,4,5,11,13,Medium
,457,Full Color,Canvas,2015-01-30,2015-01-26,189,4,5,9,10,Medium
Stickers,728,Full Color,Cardboard,2016-03-01,2016-02-25,154,6,8,11,13,High
Flyers,,,Glossy Paper,2018-06-05,2018-05-29,109,3,5,9,11,Medium
Stickers,405,BW,Cardboard,2021-12-23,2021-12-18,38,5,7,11,13,Low
Banners,,Full Color,,2021-04-08,2021-04-03,36,3,4,10,11,Medium
Banners,,,Vinyl,2015-08-08,2015-08-07,118,3,5,9,10,High
Business Cards,994,Full Color,Matte Paper,2020-05-20,2020-05-13,65,6,7,10,11,
Stickers,884,BW,Glossy Paper,2016-10-29,2016-10-24,44,4,5,9,10,
Stickers,,Full Color,Glossy Paper,2023-10-24,2023-10-21,125,6,8,8,9,Medium
Flyers,78,BW,Cardboard,2015-07-14,2015-07-08,107,5,7,9,10,Low
Posters,,Full Color,Cardboard,2015-03-16,2015-03-09,75,3,4,11,12,Low
,,Full Color,Vinyl,2022-11-15,2022-11-08,61,7,8,8,9,Low
Flyers,667,BW,Vinyl,2024-07-14,2024-07-12,139,4,5,12,13,High
Business Cards,506,Full Color,Vinyl,2025-11-27,2025-11-23,87,6,8,8,9,High
Flyers,550,BW,Cardboard,2015-12-25,2015-12-23,183,4,5,10,11,High
Brochures,,BW,Vinyl,2019-10-23,2019-10-22,36,6,7,11,13,
Flyers,925,BW,Cardboard,2022-01-16,2022-01-15,43,3,5,11,12,High
Brochures,,Full Color,Vinyl,2023-03-22,2023-03-17,92,5,6,8,9,Medium
Business Cards,624,Full Color,Canvas,2025-04-27,2025-04-23,23,6,8,10,12,High
Brochures,,BW,Cardboard,2024-04-10,2024-04-06,154,6,7,8,10,Medium
Brochures,,BW,Matte Paper,2015-07-19,2015-07-16,45,6,8,9,10,Low
Flyers,168,BW,Glossy Paper,2017-05-29,2017-05-27,61,6,7,10,11,Medium
Brochures,812,Full Color,Matte Paper,2020-02-14,2020-02-12,103,6,8,9,11,High
,,BW,Vinyl,2022-04-26,2022-04-19,177,4,5,9,10,Medium
Business Cards,,Full Color,Matte Paper,2021-08-17,2021-08-12,20,4,5,8,10,Medium
Stickers,692,Full Color,Glossy Paper,2022-03-24,2022-03-22,42,4,6,8,10,
Stickers,,BW,Cardboard,2017-12-04,2017-12-01,75,4,6,8,10,Medium
Flyers,891,BW,Canvas,2022-11-29,2022-11-23,97,4,5,11,13,Low
Business Cards,,Full Color,Vinyl,2016-07-03,2016-06-28,178,5,6,8,9,High
,,Full Color,Vinyl,2024-12-25,2024-12-18,100,4,5,10,12,High
Stickers,786,Full Color,Glossy Paper,2018-05-09,2018-05-08,55,5,6,11,13,Low
Flyers,,Full Color,Cardboard,2017-02-11,2017-02-06,154,4,5,10,11,High
Flyers,,Full Color,Vinyl,2025-01-08,2025-01-05,52,4,5,10,12,Low
Banners,277,,Canvas,2021-08-24,2021-08-21,139,5,6,10,12,Medium
Banners,,Full Color,Cardboard,2022-06-25,2022-06-18,82,6,8,10,12,
Stickers,847,BW,Vinyl,2019-12-09,2019-12-02,169,5,6,9,11,Low
Stickers,,Full Color,Canvas,2025-01-19,2025-01-14,,5,7,11,13,High
Stickers,,Full Color,Canvas,2015-11-09,2015-11-03,177,4,5,12,13,Low
Stickers,,BW,Vinyl,2018-11-22,2018-11-20,,5,6,10,11,High
Posters,,Full Color,Canvas,2020-08-19,2020-08-13,145,3,5,9,11,Medium
Stickers,,,Vinyl,2025-12-06,2025-11-29,,4,5,10,11,High
Business Cards,,Full Color,Matte Paper,2024-03-10,2024-03-06,108,5,7,10,11,Low
Posters,76,Full Color,Glossy Paper,2023-04-15,2023-04-08,166,3,4,11,13,High
Flyers,,Full Color,Canvas,2018-12-16,2018-12-14,55,4,5,10,12,High
Flyers,229,Full Color,,2023-04-04,2023-03-30,35,7,8,10,12,High
Brochures,971,BW,Canvas,2016-07-27,2016-07-26,6,7,8,10,12,High
Posters,,Full Color,Canvas,2016-10-24,2016-10-19,109,4,6,8,10,Medium
Brochures,201,BW,Glossy Paper,2025-12-19,2025-12-16,24,3,5,11,13,Low
Brochures,,,Glossy Paper,2023-08-07,2023-08-01,0,4,6,9,10,Low
Stickers,589,Full Color,Vinyl,2015-08-15,2015-08-14,13,4,5,10,11,Low
Posters,101,Full Color,,2020-06-21,2020-06-20,98,6,8,8,9,High
Flyers,,,Matte Paper,2025-10-11,2025-10-07,187,3,4,8,10,Medium
Brochures,766,BW,,2024-02-10,2024-02-09,3,6,8,8,10,High
,687,Full Color,Cardboard,2016-03-14,2016-03-09,68,3,4,11,13,Medium
Business Cards,517,,Glossy Paper,2023-07-04,2023-06-27,81,7,9,10,12,High
Stickers,,Full Color,Vinyl,2024-05-02,2024-04-30,145,4,6,9,11,Low
,,BW,Glossy Paper,2025-02-20,2025-02-16,193,6,8,11,12,High
Stickers,863,Full Color,Cardboard,2017-05-20,2017-05-15,,4,6,10,11,Medium
Brochures,322,BW,Cardboard,2024-10-26,2024-10-24,,5,6,10,12,Low
Stickers,,,Matte Paper,2022-12-28,2022-12-21,122,4,6,10,11,Medium
Stickers,406,Full Color,Matte Paper,2025-07-25,2025-07-23,172,3,5,8,9,High
,,BW,Vinyl,2022-12-19,2022-12-16,126,6,8,9,10,Low
Brochures,546,Full Color,Vinyl,2025-04-18,2025-04-15,123,6,8,8,9,Low
Flyers,112,BW,Cardboard,2025-06-28,2025-06-26,56,6,7,10,11,Medium
Posters,,Full Color,Cardboard,2023-09-04,2023-08-28,19,5,6,9,10,Low
Banners,,BW,Matte Paper,2019-01-10,2019-01-09,95,6,7,10,12,High
Business Cards,863,BW,Canvas,2017-07-13,2017-07-07,154,3,5,9,10,Medium
Brochures,433,Full Color,Glossy Paper,2023-10-15,2023-10-09,168,4,6,8,10,Medium
Banners,,Full Color,Canvas,2020-10-08,2020-10-07,124,4,5,12,13,
Brochures,,Full Color,Vinyl,2017-04-16,2017-04-15,73,5,6,11,13,
,256,BW,Canvas,2021-03-19,2021-03-12,,4,5,8,10,Medium
Stickers,,Full Color,,2024-12-13,2024-12-11,115,3,4,11,13,
Flyers,,BW,Vinyl,2021-09-02,2021-08-26,194,5,6,10,11,Medium
Business Cards,,BW,Cardboard,2024-01-31,2024-01-24,69,6,8,11,12,
Stickers,,Full Color,Canvas,2024-06-07,2024-05-31,109,4,6,9,11,Medium
